FlightNumber,departureInt,returnInt,avalibleInt,Price,departureLocation,destination,departureDate,returnDestination,returnDate
1,26,392,393,75000,"Las Vegas, Nevada","Las Vegas, Nevada",3/12/2015 0:00,"Oakland, CA",3/12/2016 0:00
2,26,392,393,34500,"Las Vegas, Nevada","Las Vegas, Nevada",3/12/2015 0:00,"Oakland, CA",3/12/2016 0:00
3,202,202,203,45638,"Tallahassee, FL","Tallahassee, FL",9/4/2015 0:00,"College Station, TX",9/4/2015 0:00
5,207,208,209,55517,"Gainesville, FL","Gainesville, FL",9/9/2015 0:00,"College Station, TX",9/10/2015 0:00
4,207,207,208,9957,"Pittsburgh, PA","Worcester, MA",9/9/2015 0:00,"Pittsburgh, PA",9/9/2015 0:00
6,214,214,215,6000,"Pittsburgh, PA","Fort Wayne, IN",9/16/2015 0:00,"Pittsburgh, PA",9/16/2015 0:00
7,215,217,218,27000,"OXFORD, MS","GAINESVILLE, FL",9/17/2015 0:00,"GAINESVILLE, FL",9/19/2015 0:00
8,217,217,218,39868,"Pittsburgh, PA","Iowa City, IA",9/19/2015 0:00,"Pittsburgh, PA",9/19/2015 0:00
10,220,221,222,27105,"Cedar Rapids, IA","Iowa City, IA",9/22/2015 0:00,"Lincoln, NE",9/23/2015 0:00
11,220,221,222,20990,Minneapolis. MN,"Columbus, OH",9/22/2015 0:00,"Minneapolis, MN",9/23/2015 0:00
9,220,221,222,7200,"Pittsburgh, PA",Multiple Locations,9/22/2015 0:00,"Pittsburgh, PA",9/23/2015 0:00
12,221,221,222,34400,"Lubbock, TX","Lubbock, TX",9/23/2015 0:00,"Oklahoma City, OK",9/23/2015 0:00
14,222,225,226,54783,"Columbia, SC","Columbia, SC/Athens, GA",9/24/2015 0:00,"College Station, TX",9/27/2015 0:00
16,222,223,224,40600,"Columbia, MO","Lexington, KY",9/24/2015 0:00,"Starkville, MS",9/25/2015 0:00
15,222,224,225,31564,"Ypsilanti, MI","Ann Arbor, MI and East Lansing, MI",9/24/2015 0:00,"West Lafayette, IN ",9/26/2015 0:00
17,222,223,224,28000,"OXFORD, MS","GAINESVILLE, FL",9/24/2015 0:00,"GAINESVILLE, FL",9/25/2015 0:00
13,222,592,593,12419,"Scottsdale, AZ","Valentine, NE",9/24/2015 0:00,"Valentine, NE",9/28/2016 0:00
19,224,225,226,42805,Newark NJ,Newark NJ,9/26/2015 0:00,Champaign IL ,9/27/2015 0:00
18,224,225,226,30788,"COLUMBIA, SC","BATON ROUGE, LA",9/26/2015 0:00,"COLUMBIA, SC",9/27/2015 0:00
20,227,228,229,33400,"Auburn, AL","Auburn, AL",9/29/2015 0:00,"College Station, TX",9/30/2015 0:00
21,228,596,597,63176,"Minneapolis, MN","State College, PA",9/30/2015 0:00,"Minneapolis, MN",10/2/2016 0:00
23,229,230,231,31993,"COLUMBIA, SC","OXFORD, MS",10/1/2015 0:00,"STARKVILLE, MS",10/2/2015 0:00
22,229,230,231,24303,"State College, PA","State College, PA",10/1/2015 0:00,"Savoy, IL",10/2/2015 0:00
24,229,230,231,23907,"Starkville, MS","Lexington, KY",10/1/2015 0:00,"Lexington, KY",10/2/2015 0:00
25,229,230,231,23500,"OXFORD, MS","COLUMBIA, MO",10/1/2015 0:00,COLUMBIA MO,10/2/2015 0:00
27,230,231,232,24303,"Savoy, IL","Columbus, OH",10/2/2015 0:00,"Lincoln, NE",10/3/2015 0:00
26,230,232,233,23299,"Tallahassee, FL","Miami, FL",10/2/2015 0:00,"Anderson, SC",10/4/2015 0:00
29,231,232,233,26600,"OXFORD, MS","COLLEGE STATION, TX",10/3/2015 0:00,"COLLEGE STATION, TX",10/4/2015 0:00
28,231,234,235,11811,"Waukesha, WI","MIlwaukee, WI",10/3/2015 0:00,"Stillwater, OK",10/6/2015 0:00
30,234,235,236,37523,"Lubbock, TX","Lubbock, TX",10/6/2015 0:00,"Lawrence, KS",10/7/2015 0:00
31,234,235,236,29700,"Ames, IA","Ames, IA",10/6/2015 0:00,Manhattan KS,10/7/2015 0:00
32,234,235,236,29700,Mornat,"Ames, IA",10/6/2015 0:00,Manhattan KS,10/7/2015 0:00
33,234,235,236,27350,"Knoxville, TN","Baton Rouge, LA",10/6/2015 0:00,"Knoxville, TN",10/7/2015 0:00
34,235,235,236,5200,"Pittsburgh, PA","Lynchburg, VA",10/7/2015 0:00,"Pittsburgh, PA",10/7/2015 0:00
